Entity,Code,Year,"Number of daily male smokers (IHME, GHDx (2012))","Number of daily female smokers (IHME, GHDx (2012))"
Afghanistan,AFG,1980,651813,81707
Afghanistan,AFG,1981,640826,79276
Afghanistan,AFG,1982,624355,76061
Afghanistan,AFG,1983,604572,72411
Afghanistan,AFG,1984,584905,68908
Afghanistan,AFG,1985,568786,65946
Afghanistan,AFG,1986,556301,63570
Afghanistan,AFG,1987,546936,61716
Afghanistan,AFG,1988,545540,60768
Afghanistan,AFG,1989,558210,61324
Afghanistan,AFG,1990,588319,63711
Afghanistan,AFG,1991,638989,68289
Afghanistan,AFG,1992,708380,74721
Afghanistan,AFG,1993,787847,82119
Afghanistan,AFG,1994,865100,89356
Afghanistan,AFG,1995,932830,95703
Afghanistan,AFG,1996,985659,100795
Afghanistan,AFG,1997,1025349,106644
Afghanistan,AFG,1998,1052159,111314
Afghanistan,AFG,1999,1077138,115541
Afghanistan,AFG,2000,1108812,120114
Afghanistan,AFG,2001,1149511,125384
Afghanistan,AFG,2002,1198356,131469
Afghanistan,AFG,2003,1252098,137947
Afghanistan,AFG,2004,1305098,144378
Afghanistan,AFG,2005,1353950,150483
Afghanistan,AFG,2006,1397587,156158
Afghanistan,AFG,2007,1437977,161714
Afghanistan,AFG,2008,1476933,167313
Afghanistan,AFG,2009,1518511,173446
Afghanistan,AFG,2010,1563656,179969
Afghanistan,AFG,2011,1613527,186782
Afghanistan,AFG,2012,1668864,193836
Albania,ALB,1980,333318,27584
Albania,ALB,1981,343245,28413
Albania,ALB,1982,353311,29246
Albania,ALB,1983,363785,30082
Albania,ALB,1984,374972,30947
Albania,ALB,1985,387002,31869
Albania,ALB,1986,400193,32809
Albania,ALB,1987,414231,33774
Albania,ALB,1988,427897,34717
Albania,ALB,1989,439003,35487
Albania,ALB,1990,446803,36047
Albania,ALB,1991,451479,36412
Albania,ALB,1992,452844,36574
Albania,ALB,1993,451527,36552
Albania,ALB,1994,449317,36458
Albania,ALB,1995,447238,36355
Albania,ALB,1996,445488,36235
Albania,ALB,1997,439233,35989
Albania,ALB,1998,434630,35767
Albania,ALB,1999,430428,35466
Albania,ALB,2000,426043,35035
Albania,ALB,2001,421364,34513
Albania,ALB,2002,416609,34027
